name,link
Chicken Curry Recipe,https://www.food.com/recipe/mrs-chittalurus-family-authentic-indian-chicken-curry-recipe-466827
Original Indian Naan Bread,https://www.food.com/recipe/original-indian-naan-bread-446017
Chappatis (Roti),https://www.food.com/recipe/chappatis-roti-39198
Chai Tea from Scratch,https://www.food.com/recipe/chai-tea-from-scratch-220853
Golden Basmati Rice,https://www.food.com/recipe/golden-basmati-rice-208095
East Indian Chopped Vegetable Salad,https://www.food.com/recipe/east-indian-chopped-vegetable-salad-207599
Chicken Bhuna Masala - a Chicken Curry,https://www.food.com/recipe/chicken-bhuna-masala-a-chicken-curry-177155
Divine Semolina Dessert - Suji Halva,https://www.food.com/recipe/divine-semolina-dessert-suji-halva-141371
Raita,https://www.food.com/recipe/jims-raita-137164
County Fair Indian Tacos,https://www.food.com/recipe/county-fair-indian-tacos-109493
Curried Lentil Loaf,https://www.food.com/recipe/curried-lentil-loaf-86133
Lamb Saag,https://www.food.com/recipe/lamb-saag-66781
Spicy Mushrooms With Ginger and Chilies,https://www.food.com/recipe/spicy-mushrooms-with-ginger-and-chilies-57972
Rajma Masala,https://www.food.com/recipe/kidney-bean-chili-indian-style-rajma-in-masala-47936
Indian Fried Rice,https://www.food.com/recipe/indian-fried-rice-42620
Indian Style Green Beans,https://www.food.com/recipe/indian-style-green-beans-426090
Pindi Chana,https://www.food.com/recipe/pindi-chana-36606
Quick Naan (Bread Machine),https://www.food.com/recipe/quick-naan-bread-machine-254744
Mutter Paneer -- Indian Cheese Curry,https://www.food.com/recipe/mutter-paneer-indian-cheese-curry-173381
Indian Tacos (And Fry Bread),https://www.food.com/recipe/indian-tacos-and-fry-bread-17001
Hummus,https://www.food.com/recipe/hummus-16401
Palak Paneer,https://www.food.com/recipe/palak-paneer-14886
Saffron Rice With Cashews and Raisins,https://www.food.com/recipe/saffron-rice-with-cashews-and-raisins-136535
Lamb Korma,https://www.food.com/recipe/lamb-korma-124155
Chicken Tikka,https://www.food.com/recipe/chicken-tikka-115292
Paneer Butter Masala,https://www.food.com/recipe/paneer-butter-masala-112304
Quick Garam Masala,https://www.food.com/recipe/quick-garam-masala-82968
Beef Bombay Curry,https://www.food.com/recipe/beef-bombay-curry-88540
Spiced Cauliflower,https://www.food.com/recipe/spiced-cauliflower-48037
Easy Chai Masala,https://www.food.com/recipe/easy-chai-masala-448067
Fantastic Chicken Curry,https://www.food.com/recipe/fantastic-chicken-curry-42882
Indian Butter Chicken Slow Cooker,https://www.food.com/recipe/indian-butter-chicken-slow-cooker-396711
Easy Kulfi (Ice Cream Without an Ice Cream Freezer!),https://www.food.com/recipe/easy-kulfi-ice-cream-without-an-ice-cream-freezer-36229
Pork Curry ( for the Ladies),https://www.food.com/recipe/pork-curry-for-the-ladies-358839
Potato Curry With Peas and Carrots,https://www.food.com/recipe/potato-curry-with-peas-and-carrots-351469
Dhal - Lentil Puree,https://www.food.com/recipe/dhal-lentil-puree-32869
"Basil, Cilantro and Macadamia Nut Chicken",https://www.food.com/recipe/basil-cilantro-and-macadamia-nut-chicken-32377
Honey Berry Lassi,https://www.food.com/recipe/honey-berry-lassi-293979
Colorful Cauliflower Curry,https://www.food.com/recipe/cauliflower-curry-283560
Grilled Tandoori Chicken,https://www.food.com/recipe/grilled-tandoori-style-chicken-279907
Better Chai from a Chai Tea Bag,https://www.food.com/recipe/better-chai-from-a-chai-tea-bag-227694
Aloo Gobi - Potato and Cauliflower Curry.,https://www.food.com/recipe/aloo-gobi-potato-and-cauliflower-curry-22750
Bombay Naan (Oamc),https://www.food.com/recipe/bombay-naan-oamc-178020
Sriracha-Glazed Chicken and Onions over Long-Grain Rice,https://www.food.com/recipe/sriracha-glazed-chicken-and-onions-over-long-grain-rice-146712
Indian Ratatouille,https://www.food.com/recipe/indian-ratatouille-95437
Roasted Red Lentil Soup,https://www.food.com/recipe/roasted-red-lentil-soup-81287
Basmati Rice Seasoned with Garam Masala,https://www.food.com/recipe/basmati-rice-seasoned-with-garam-masala-6582
Seasonal Cranberry Chutney,https://www.food.com/recipe/cranberry-chutney-64488
Yellow Split Pea Dal,https://www.food.com/recipe/yellow-split-pea-dal-64224
"The Best Lentil Salad, Ever",https://www.food.com/recipe/the-best-lentil-salad-ever-501346
Indian Butter Chicken,https://www.food.com/recipe/indian-butter-chicken-482614
PANEER (Fresh Cheese),https://www.food.com/recipe/paneer-fresh-cheese-46900
Goan Beef Curry,https://www.food.com/recipe/goan-beef-curry-347795
Kashmiri Pulao,https://www.food.com/recipe/kashmiri-chicken-cardamom-and-saffron-pilau-spiced-indian-rice-292393
Indian Potatoes with Mustard Seeds (Sookhi Bhaji),https://www.food.com/recipe/indian-potatoes-with-mustard-seeds-sookhi-bhaji-29146
Indian-Spiced Coffee,https://www.food.com/recipe/indian-spiced-coffee-262957
Chickpea Daal (Indian),https://www.food.com/recipe/chickpea-daal-indian-24351
Potatoes With Indian Spices,https://www.food.com/recipe/potatoes-with-indian-spices-236275
Indian Fry Bread Tacos,https://www.food.com/recipe/amys-favorite-indian-fry-bread-tacos-225907
Crock Pot Curry (Aloo Rajma),https://www.food.com/recipe/crock-pot-curry-aloo-rajma-206165
Turmeric Fried Rice,https://www.food.com/recipe/fried-rice-12874
Indian-Seasoned Vegetable Patties,https://www.food.com/recipe/indian-seasoned-vegetable-patties-128466
Fish Curry,https://www.food.com/recipe/fish-curry-108018
Chana and Aloo (Chickpea and Potato Curry),https://www.food.com/recipe/chana-and-aloo-chickpea-and-potato-curry-185870
Indian Tacos,https://www.food.com/recipe/indian-tacos-11221
Mango Mania Lassi,https://www.food.com/recipe/mango-mania-lassi-95753
Plain Raita,https://www.food.com/recipe/plain-raita-8948
Mulligatawny Soup with Lentils,https://www.food.com/recipe/mulligatawny-soup-with-lentils-88719
Cauliflower and Tomato Curry,https://www.food.com/recipe/cauliflower-and-tomato-curry-59202
Indian Rice,https://www.food.com/recipe/indian-rice-482040
Scrambled Eggs With Scallions and Mushrooms,https://www.food.com/recipe/scrambled-eggs-with-scallions-and-mushrooms-481921
Spicy lassi,https://www.food.com/recipe/sweet-lassi-with-spices-437713
Banana and Coconut,https://www.food.com/recipe/banana-and-coconut-415321
South African Curry,https://www.food.com/recipe/south-african-curry-392938
Easy Curried Shrimp,https://www.food.com/recipe/easy-curried-shrimp-31896
""" Denauseating"" With Ginger Tea",https://www.food.com/recipe/denauseating-with-ginger-tea-30473
Onion bhajia,https://www.food.com/recipe/indian-restaurant-style-onion-bhajia-deep-fried-onion-fritters-288345
Honey-Ginger Lassi,https://www.food.com/recipe/honey-ginger-lassi-245239
Keema,https://www.food.com/recipe/keema-207942
Hot Cinnamon Coffee,https://www.food.com/recipe/hot-cinnamon-coffee-18792
Chicken Jambalaya,https://www.food.com/recipe/chicken-jambalaya-18508
Chickpea Curry Rice,https://www.food.com/recipe/chickpea-curry-indian-style-over-basmati-rice-174691
Chickpea Flour Pizza,https://www.food.com/recipe/chickpea-flour-pizza-160236
Broiled Indian Spiced Fish,https://www.food.com/recipe/broiled-indian-spiced-fish-158344
Yogurt-Marinated grilled chicken,https://www.food.com/recipe/tandoori-style-yogurt-marinated-chicken-legs-for-the-grill-155881
Kachoomber {refreshing Tomato Salad},https://www.food.com/recipe/kachoomber-refreshing-tomato-salad-137329
Bhindi Masala,https://www.food.com/recipe/charishmas-very-tasty-bhindi-masala-123857
Authentic Navajo Indian Fry Bread (Taco Bread),https://www.food.com/recipe/authentic-navajo-indian-fry-bread-taco-bread-136543
carrot curry,https://www.food.com/recipe/carrot-curry-87646
Curry Lentils With Chicken,https://www.food.com/recipe/curry-lentils-with-chicken-85865
Honey Curried Chicken,https://www.food.com/recipe/honey-curried-chicken-7788
Toor Ki Dal(sindhi Style),https://www.food.com/recipe/subru-uncles-toor-ki-dal-sindhi-style-dad-mom-and-i-love-and-76908
Sweet Tomato Chutney,https://www.food.com/recipe/sweet-tomato-chutney-70119
Egg Pulao,https://www.food.com/recipe/egg-pulao-69892
Mulligatawny (Indian) Soup ( Beef ),https://www.food.com/recipe/mulligatawny-indian-soup-beef-57831
Green Tomatoes with Indian Spices,https://www.food.com/recipe/green-tomatoes-with-indian-spices-52262
Indian Roasted Cauliflower,https://www.food.com/recipe/indian-roasted-cauliflower-467923
Chai Tea,https://www.food.com/recipe/aartis-party-chai-tea-437153
Secret Ingredient Curried Cauliflower Soup,https://www.food.com/recipe/secret-ingredient-curried-cauliflower-soup-371337
Balti Seitan Madras,https://www.food.com/recipe/balti-seitan-madras-341407
Chicken with Lemon Curry Sauce,https://www.food.com/recipe/chicken-with-lemon-curry-sauce-3103
Fried Shrimp Tomato Cream Sauce,https://www.food.com/recipe/stir-fried-shrimp-in-aromatic-tomato-cream-sauce-306156
Couscous Salad,https://www.food.com/recipe/my-couscous-salad-248510
Punjabi Chapati / Chapatis,https://www.food.com/recipe/punjabi-chapati-chapatis-217108
Beef Vindaloo ( the Real Thing),https://www.food.com/recipe/beef-vindaloo-the-real-thing-207043
Curried Creamed Cabbage,https://www.food.com/recipe/curried-creamed-cabbage-203966
Chickpea Salad With Ginger,https://www.food.com/recipe/chickpea-salad-with-ginger-165089
Garam Masala Deviled Eggs,https://www.food.com/recipe/garam-masala-deviled-eggs-159054
Curried Pea Soup,https://www.food.com/recipe/curried-pea-soup-15307
Chana Dal (Yellow Lentils) With Spinach,https://www.food.com/recipe/chana-dal-yellow-lentils-with-spinach-126616
Lentil Croquettes,https://www.food.com/recipe/lentil-croquettes-121500
South Indian Eggplant (Aubergine) Curry,https://www.food.com/recipe/south-indian-eggplant-aubergine-curry-114524
Indian Candy-Smoked Salmon,https://www.food.com/recipe/indian-candy-smoked-salmon-47871
Madras Curry Paste,https://www.food.com/recipe/madras-curry-paste-95907
"clarified butter or ""ghee""",https://www.food.com/recipe/clarified-butter-or-ghee-71031
Fresh Fruit Lime-Yogurt-Cardamom,https://www.food.com/recipe/fresh-fruit-in-lime-yogurt-cardamom-dressing-70552
Salmon Cutlets Indian Creamy Sauce,https://www.food.com/recipe/salmon-cutlets-in-indian-creamy-sauce-67880
Indian Omelet,https://www.food.com/recipe/indian-omelet-482891
Chapati (Indian Flat Bread),https://www.food.com/recipe/chapati-indian-flat-bread-482651
Tandoori Spice Mix,https://www.food.com/recipe/tandoori-spice-mix-482360
Indian Potato Cakes (Aloo Tikki) With Cilantro Chutney Yogurt,https://www.food.com/recipe/indian-potato-cakes-aloo-tikki-with-cilantro-chutney-yogurt-474699
Fried Pineapple Rice(Vegan),https://www.food.com/recipe/fried-pineapple-rice-vegan-463326
Green Lentils With Garlic & Onion (Madhur Jaffrey),https://www.food.com/recipe/green-lentils-with-garlic-onion-madhur-jaffrey-438848
Mango Lassi (India),https://www.food.com/recipe/mango-lassi-india-423596
Spicy Curried Lentils and Rice,https://www.food.com/recipe/spicy-curried-lentils-and-rice-423545
Mung Bean Curry,https://www.food.com/recipe/uncle-bills-mung-bean-curry-42325
Murgh Makhani - Moghul Butter Chicken,https://www.food.com/recipe/murgh-makhani-moghul-butter-chicken-422848
Spicy Tomato Chickpea Stew,https://www.food.com/recipe/spicy-tomato-chickpea-stew-416179
Baked Vegetarian Samosas,https://www.food.com/recipe/oven-baked-vegetarian-samosas-397782
Indian Dhal,https://www.food.com/recipe/indian-dhal-336973
Masoor Dal,https://www.food.com/recipe/masoor-dal-311192
Channa Dal (Curried Chickpeas),https://www.food.com/recipe/channa-dal-curried-chickpeas-306863
Chickpea Dahl,https://www.food.com/recipe/chickpea-dahl-305710
Garam Masala - Aromatic Kashmiri Spice Blend for Spicy Cooking!,https://www.food.com/recipe/garam-masala-aromatic-kashmiri-spice-blend-for-spicy-cooking-279714
Spicy Mulligatawny Soup  ( Chicken ),https://www.food.com/recipe/spicy-mulligatawny-soup-chicken-233158
Bombay Beans And Chicken,https://www.food.com/recipe/bombay-beans-and-chicken-22808
Simple Chicken Biryani,https://www.food.com/recipe/simple-chicken-biryani-203279
Spiced Bat Wings(Chicken Wings),https://www.food.com/recipe/spiced-bat-wings-chicken-wings-192345
Gluten-Free Naan / Roti (Indian Flat Bread) - Version #1,https://www.food.com/recipe/gluten-free-naan-roti-indian-flat-bread-version-1-189334
Aloo Paratha (Indian Potato-Stuffed Flatbreads),https://www.food.com/recipe/aloo-paratha-indian-potato-stuffed-flatbreads-16786
Garlic Curry Chicken & Spinach,https://www.food.com/recipe/garlic-curry-chicken-spinach-167521
Green Chutney ( Indian Mint - Cilantro Chutney ),https://www.food.com/recipe/green-chutney-indian-mint-cilantro-chutney-156498
Eggplant (Aubergine) -Spinach Curry,https://www.food.com/recipe/eggplant-aubergine-spinach-curry-151461
Butter Chicken - (Murgh Makhani),https://www.food.com/recipe/butter-chicken-murgh-makhani-146193
"Red Lentil, Tomato and Spinach Soup",https://www.food.com/recipe/red-lentil-tomato-and-spinach-soup-138073
"Creamy Lentil ""risotto"" (Kichdi)",https://www.food.com/recipe/creamy-lentil-risotto-kichdi-131214
Shrimp Korma,https://www.food.com/recipe/shrimp-korma-126599
Mixed Dhal,https://www.food.com/recipe/mixed-dhal-114253
Vegan Chickpea Korma,https://www.food.com/recipe/vegan-chickpea-korma-271664
India Chicken Curry,https://www.food.com/recipe/india-chicken-curry-266584
Udipi Sambar,https://www.food.com/recipe/udipi-sambar-89803
Red Chard Saag,https://www.food.com/recipe/red-chard-saag-89564
Beef Short Ribs Cinnamon & Red Wine Sauce,https://www.food.com/recipe/beef-short-ribs-in-cinnamon-red-wine-sauce-85348
Lemon Rice with Dals,https://www.food.com/recipe/lemon-rice-with-dals-84304
Chicken and Apple Curry,https://www.food.com/recipe/chicken-and-apple-curry-70836
Potato Curry,https://www.food.com/recipe/potato-curry-61983
"Pumpkin, Banana and Chickpea Curry",https://www.food.com/recipe/pumpkin-banana-and-chickpea-curry-52807
Masala Chai,https://www.food.com/recipe/masala-chai-483736
Scrambled Eggs - Indian Style,https://www.food.com/recipe/scrambled-eggs-indian-style-482989
Curried Eggs,https://www.food.com/recipe/curried-eggs-482976
Chai (Spiced Indian Tea),https://www.food.com/recipe/chai-spiced-indian-tea-481490
Sambal Oelek,https://www.food.com/recipe/sambal-oelek-47589
Rajmah (Punjabi Curried Red Kidney Bean) (Slow-Cooker),https://www.food.com/recipe/rajmah-punjabi-curried-red-kidney-bean-slow-cooker-466289
Homemade Indian Lamb Masala Curry,https://www.food.com/recipe/kaypees-homemade-indian-lamb-masala-curry-457409
Strawberry Lassi,https://www.food.com/recipe/strawberry-lassi-425087
Indian Raita (Cucumber Mix),https://www.food.com/recipe/indian-raita-cucumber-mix-397633
Authentic Karahi Curry (With Base Sauce),https://www.food.com/recipe/authentic-karahi-curry-with-base-sauce-394252
Mango Lassi Yogurt Pops,https://www.food.com/recipe/mango-lassi-yogurt-pops-382437
Tarka Dal,https://www.food.com/recipe/tarka-dal-380608
Low-Fat Chicken Curry,https://www.food.com/recipe/low-fat-chicken-curry-37989
Indian Ghee Rice,https://www.food.com/recipe/indian-ghee-rice-353583
Garlicky Mushroom Masala Omelet,https://www.food.com/recipe/garlicky-mushroom-masala-omelet-306233
Eggplant and Potato (Indian),https://www.food.com/recipe/eggplant-and-potato-indian-298395
Fried Tofu in Curry Sauce,https://www.food.com/recipe/fried-tofu-in-curry-sauce-294142
Masala Dosa with Coconut Chutney (South Indian Savory Crepes with filling),https://www.food.com/recipe/masala-dosa-with-coconut-chutney-south-indian-savory-crepes-with-filling-27028
Best Healthy Vegan Indian Naan (Or Garlic Naan) Bread!,https://www.food.com/recipe/best-healthy-vegan-indian-naan-or-garlic-naan-bread-258001
Masala Coffee (Spiced Coffee),https://www.food.com/recipe/masala-coffee-spiced-coffee-24900
Chicken Tikka Masala,https://www.food.com/recipe/chicken-tikka-masala-236996
Indian Chickpeas,https://www.food.com/recipe/indian-chickpeas-228288
Tomato Poha,https://www.food.com/recipe/tomato-poha-21075
Samosa Soup,https://www.food.com/recipe/samosa-soup-209882
Cumin  Mint & Coriander Yogurt,https://www.food.com/recipe/cumin-mint-coriander-yogurt-203296
Indian Home Fries,https://www.food.com/recipe/indian-home-fries-190275
Honey-Cardamom Glazed Carrots,https://www.food.com/recipe/honey-cardamom-glazed-carrots-181759
Tangy Lemon Rice with Peanuts,https://www.food.com/recipe/tangy-lemon-rice-with-peanuts-17933
Sweet Potato and Chickpea Curry,https://www.food.com/recipe/sweet-potato-and-chickpea-curry-167611
North-South Sweet Potato Curry,https://www.food.com/recipe/north-south-sweet-potato-curry-165039
